gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
312,150,162,104.0,2.1,0,0,northeastern_university,accept,15
309,154,155,104.0,3.26,0,0,northeastern_university,accept,15
320,163,157,108.0,2.92,18,0,northeastern_university,accept,15
321,167,154,110.0,2.88,13,0,northeastern_university,accept,15
318,166,152,113.0,3.19,9,0,northeastern_university,accept,15
323,166,157,113.0,1.42,6,3,northeastern_university,accept,15
314,152,162,112.0,3.24,29,0,northeastern_university,accept,15
322,167,155,112.0,3.26,18,0,northeastern_university,accept,15
316,163,153,108.0,3.33,21,0,northeastern_university,accept,15
316,167,149,105.0,3.24,0,3,northeastern_university,accept,15
319,162,157,105.0,2.9,5,3,northeastern_university,accept,15
313,158,155,103.0,3.32,24,2,northeastern_university,accept,15
314,160,154,108.0,3.32,29,3,northeastern_university,accept,15
318,162,156,101.0,2.55,48,0,northeastern_university,accept,15
311,163,148,101.0,2.92,28,0,northeastern_university,accept,15
320,165,155,106.0,2.9,22,0,northeastern_university,accept,15
304,159,145,102.0,2.75,36,0,northeastern_university,accept,15
327,168,159,114.0,3.37,0,0,northeastern_university,accept,15
316,164,152,106.0,2.73,20,0,northeastern_university,accept,15
323,161,162,114.0,2.81,27,0,northeastern_university,accept,15
310,154,156,103.0,2.34,28,3,northeastern_university,accept,15
313,162,151,102.0,2.92,27,0,northeastern_university,accept,15
306,154,152,102.0,2.91,31,2,northeastern_university,accept,15
309,161,148,101.0,3.04,16,2,northeastern_university,accept,15
313,164,149,101.0,3.44,24,0,northeastern_university,accept,15
313,158,155,103.0,3.32,15,2,northeastern_university,accept,15
311,160,151,110.0,3.72,24,0,northeastern_university,accept,15
314,167,147,100.0,3.68,8,3,northeastern_university,accept,15
316,164,152,109.0,3.34,18,0,northeastern_university,accept,15
318,164,154,101.0,3.47,0,3,northeastern_university,accept,15
319,164,155,111.0,2.8,20,0,northeastern_university,accept,15
320,167,153,104.0,2.8,36,0,northeastern_university,accept,15
317,163,154,113.0,2.56,21,1,northeastern_university,accept,15
316,168,148,113.0,2.85,45,0,northeastern_university,accept,15
316,158,158,119.0,2.99,14,2,northeastern_university,accept,15
317,168,149,100.0,2.95,46,2,northeastern_university,accept,15
319,163,156,104.0,3.04,2,0,northeastern_university,accept,15
319,162,157,105.0,3.52,21,0,northeastern_university,accept,15
316,164,152,102.0,2.92,0,3,northeastern_university,accept,15
325,168,157,112.0,3.3,9,3,northeastern_university,accept,15
311,162,149,104.0,3.51,0,2,northeastern_university,accept,15
313,159,154,112.0,3.0,0,0,northeastern_university,accept,15
316,160,156,102.0,3.15,40,0,northeastern_university,accept,15
319,160,159,117.0,2.83,30,0,northeastern_university,accept,15
312,163,149,101.0,3.01,22,0,northeastern_university,accept,15
329,166,163,113.0,2.86,30,0,northeastern_university,accept,15
308,156,152,99.0,3.04,24,0,northeastern_university,accept,15
312,158,154,109.0,3.22,4,0,northeastern_university,accept,15
310,162,148,99.0,2.85,24,0,northeastern_university,accept,15
314,162,152,99.0,3.15,7,0,northeastern_university,accept,15
319,170,149,107.0,3.18,20,0,northeastern_university,accept,15
317,164,153,99.0,3.59,25,3,northeastern_university,accept,15
314,168,146,103.0,3.52,2,0,northeastern_university,accept,15
312,160,152,108.0,3.6,0,0,northeastern_university,accept,15
313,163,150,99.0,2.95,7,0,northeastern_university,accept,15
315,162,153,108.0,3.16,4,0,northeastern_university,accept,15
313,162,151,110.0,2.67,3,3,northeastern_university,accept,15
320,163,157,115.0,3.04,1,0,northeastern_university,accept,15
320,162,158,104.0,3.1,1,0,northeastern_university,accept,15
315,166,149,107.0,3.76,6,0,northeastern_university,accept,15
318,166,152,112.0,3.29,0,0,northeastern_university,accept,15
314,161,153,107.0,3.13,42,3,northeastern_university,accept,15
309,157,152,101.0,3.24,13,0,northeastern_university,accept,15
322,166,156,102.0,3.48,19,0,northeastern_university,accept,15
314,161,153,111.0,3.75,26,0,northeastern_university,accept,15
324,170,154,98.0,2.36,0,0,northeastern_university,accept,15
311,159,152,103.0,3.08,1,0,northeastern_university,accept,15
315,162,153,108.0,2.58,12,0,northeastern_university,accept,15
318,168,150,106.0,3.55,15,3,northeastern_university,accept,15
315,165,150,100.0,3.33,1,0,northeastern_university,accept,15
316,167,149,106.0,3.4,7,3,northeastern_university,accept,15
