,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status
531,320,165,155,101.0,2.51,1,0,reject
532,317,162,155,0,3.56,16,0,reject
533,315,165,150,102.0,2.45,0,0,reject
534,320,164,156,0,3.36,30,0,reject
535,318,161,157,0,2.95,13,0,reject
536,308,161,147,107.0,3.49,57,2,reject
537,314,162,152,108.0,2.95,20,0,reject
538,314,162,152,108.0,2.95,20,0,reject
539,310,164,146,106.0,2.07,13,3,reject
540,306,160,146,0,3.1,18,0,reject
541,315,161,154,0,2.84,1,0,reject
542,313,156,157,114,2.25,1,0,reject
543,314,166,148,98.0,3.26,16,0,reject
544,319,165,154,106.0,3.59,2,0,reject
545,307,157,150,105.0,2.22,26,0,reject
546,310,161,149,112.0,3.4,25,0,reject
547,327,170,157,112.0,3.08,32,3,reject
548,314,167,147,90.0,2.3,56,0,reject
549,305,161,144,88.0,2.9,36,0,reject
550,314,162,152,101.0,2.85,6,0,reject
551,309,159,150,105.0,3.32,30,3,reject
552,311,161,150,110.0,3.28,20,1,reject
553,328,170,158,108.0,3.21,0,0,reject
554,323,170,153,102.0,3.6,4,0,reject
555,323,170,153,102.0,3.6,4,0,reject
556,304,160,144,91.0,3.2,57,0,reject
557,317,162,155,101.0,3.49,24,0,reject
558,311,162,149,107.0,3.13,3,3,reject
559,320,170,150,111.0,3.26,22,0,reject
560,309,159,150,114,2.3,20,0,reject
561,303,161,142,87.0,3.47,20,0,reject
562,305,155,150,98.0,3.44,12,0,reject
563,304,161,143,94.0,2.3,35,0,reject
564,319,170,149,0,3.32,0,3,reject
565,311,165,146,75.0,2.78,15,3,reject
566,308,158,150,100.0,2.97,25,0,reject
567,326,168,158,0,3.22,1,3,reject
568,303,160,143,95.0,3.0,0,0,reject
569,311,158,153,114.0,3.61,5,0,reject
570,311,158,153,116.0,2.37,43,0,reject
571,314,162,152,89.0,3.12,0,0,reject
572,314,162,152,89.0,3.12,0,0,reject
573,311,163,148,93.0,1.13,0,0,reject
574,306,162,144,107.0,3.24,0,0,reject
575,304,156,148,99.0,2.9,23,0,reject
576,302,160,142,92.0,2.81,16,0,reject
577,315,165,150,103.0,2.55,42,0,reject
578,311,151,160,94.0,3.25,35,0,reject
579,300,158,142,95.0,3.02,27,0,reject
580,309,159,150,108.0,2.7,12,2,reject
581,310,161,149,91.0,2.6,29,0,reject
582,313,162,151,102.0,2.9,33,0,reject
583,314,165,149,102.0,2.43,7,1,reject
584,301,156,145,89.0,2.95,2,0,reject
585,307,160,147,93.0,2.84,0,0,reject
586,313,155,158,106.0,2.23,0,0,reject
587,303,154,149,105.0,1.77,0,0,reject
588,313,157,156,89.0,2.12,0,0,reject
589,310,163,147,95.0,3.25,4,0,reject
590,314,164,150,101,1.8,1,0,reject
591,308,160,148,100.0,2.31,0,0,reject
592,302,154,148,101,3.32,0,0,reject
593,298,152,146,99.0,2.0,36,0,reject
594,317,160,157,109.0,2.63,0,0,reject
595,312,162,150,103.0,2.68,0,0,reject
596,329,167,162,118.0,3.12,2,0,reject
597,323,167,156,95.0,2.59,0,3,reject
598,316,164,152,108.0,2.02,0,3,reject
599,304,157,147,93.0,2.46,3,0,reject
600,305,155,150,96.0,3.09,20,0,reject
601,316,162,154,115.0,3.72,6,3,reject
602,321,167,154,112.0,2.4,18,0,reject
603,304,164,140,75.0,2.6,54,0,reject
604,323,162,161,113.0,2.15,11,0,reject
605,308,156,152,92.0,3.13,19,0,reject
606,308,156,152,92.0,3.13,19,0,reject
607,322,168,154,114.0,2.1,40,0,reject
